Paises;Emisiones_Anno;Emisiones_Anno_Millones_Toneladas
Eswatini;1104210;1,10
Sierra Leone;1231506;1,23
Rwanda;1540220;1,54
South Sudan;1580456;1,58
Malawi;1752411;1,75
Niger;2597634;2,60
Togo;2620035;2,62
Chad;3079389;3,08
Palestine;3496897;3,50
Haiti;3522026;3,52
Lesotho;3888782;3,89
Guinea;4042787;4,04
Mauritius;4138937;4,14
Namibia;4174205;4,17
Mauritania;4412598;4,41
Madagascar;4476379;4,48
Democratic Republic of Congo;4615953;4,62
Albania;5144279;5,14
Gabon;5410930;5,41
Nicaragua;5588379;5,59
Benin;5592317;5,59
Uganda;5613657;5,61
Moldova;5962224;5,96
Equatorial Guinea;6141370;6,14
Burkina Faso;6186583;6,19
Latvia;6512889;6,51
Botswana;6713559;6,71
Mali;6761669;6,76
Cyprus;7174221;7,17
North Macedonia;7448824;7,45
Armenia;7608323;7,61
Jamaica;7648698;7,65
Congo;7674340;7,67
Zambia;7748922;7,75
Uruguay;7865945;7,87
Mozambique;8023384;8,02
Paraguay;8139286;8,14
El Salvador;8230260;8,23
Costa Rica;8279033;8,28
Papua;8322015;8,32
Kosovo;8376729;8,38
Tajikistan;9054525;9,05
Cameroon;9941406;9,94
Estonia;10018740;10,02
Yemen;10034892;10,03
Kyrgyzstan;10152343;10,15
Afghanistan;11020218;11,02
Honduras;11042214;11,04
Zimbabwe;11164030;11,16
Slovenia;11328390;11,33
Georgia;11768941;11,77
Senegal;11900644;11,90
Lithuania;12461681;12,46
Cote d'Ivoire;13195601;13,20
Panama;14018338;14,02
Ethiopia;15227142;15,23
Nepal;16677210;16,68
Croatia;17524080;17,52
Tanzania;18066046;18,07
Lebanon;19475458;19,48
Ghana;19647176;19,65
Sudan;20001454;20,00
Cambodia;20178442;20,18
Bosnia and Herzegovina;20179128;20,18
Sri Lanka;20317522;20,32
Guatemala;20382320;20,38
Angola;20780540;20,78
Jordan;21188884;21,19
Kenya;21531040;21,53
Cuba;23097436;23,10
Bolivia;23359406;23,36
Laos;24796292;24,80
Syria;25503272;25,50
Denmark;27264778;27,26
New Zealand;30119236;30,12
Myanmar;30233224;30,23
Slovakia;30739160;30,74
Finland;31622000;31,62
Dominican Republic;32019646;32,02
Switzerland;32737300;32,74
Tunisia;32792874;32,79
Hong Kong;33871056;33,87
Trinidad and Tobago;34317936;34,32
Ireland;34432788;34,43
Bulgaria;36093596;36,09
Bahrain;36526764;36,53
Sweden;36556280;36,56
Portugal;37228136;37,23
Norway;38901000;38,90
Hungary;40190156;40,19
Serbia;42357788;42,36
Ecuador;43172870;43,17
Azerbaijan;43936972;43,94
Mongolia;46869964;46,87
Singapore;49252784;49,25
Greece;55196200;55,20
Peru;55863636;55,86
Belarus;56490772;56,49
Austria;58578050;58,58
Israel;59489496;59,49
North Korea;60764244;60,76
Libya;60975930;60,98
Turkmenistan;63362624;63,36
Romania;68239480;68,24
Morocco;68667610;68,67
Chile;77287704;77,29
Oman;78511300;78,51
Belgium;83368480;83,37
Czechia;85624184;85,62
Kuwait;99233390;99,23
Venezuela;99568900;99,57
Colombia;105238664;105,24
Bangladesh;113426860;113,43
Qatar;115711816;115,71
Netherlands;118668370;118,67
Uzbekistan;124768440;124,77
Nigeria;128539720;128,54
Ukraine;136460590;136,46
Philippines;154578660;154,58
Iraq;176457950;176,46
Algeria;178132770;178,13
Argentina;195805970;195,81
Pakistan;200666690;200,67
Spain;221615650;221,62
United Arab Emirates;229383650;229,38
Kazakhstan;255161470;255,16
Taiwan;261152590;261,15
Thailand;264388640;264,39
Egypt;269006200;269,01
France;272475840;272,48
Malaysia;288823680;288,82
Poland;289281540;289,28
United Kingdom;305146340;305,15
Italy;313460640;313,46
Vietnam;334726080;334,73
Australia;382972000;382,97
South Africa;401893100;401,89
Turkey;432077340;432,08
Mexico;482623460;482,62
Brazil;486470080;486,47
Canada;549299000;549,30
South Korea;577416640;577,42
Germany;596151360;596,15
Indonesia;733223940;733,22
Saudi Arabia;736205300;736,21
Iran;817879900;817,88
Japan;988784700;988,78
;;
;;
;;
;;
